title	type	url_slug	venue	date	location	talk_url	description
伽马暴数据分析	Tutorial	tutorial-1	2022天格计划夏令营	2022-08-28	online	https://www.bilibili.com/video/BV1B8411W7KK/?vd_source=2a4f0c1ba2ad01da9e395325285c2d16	2022年天格计划夏令营关于伽马暴数据分析的部分。介绍了伽马暴数据的获取与基本的光变曲线和能谱数据处理，并介绍了如何从理论模型出发对观测的数据进行拟合，进而对伽马暴进行科学研究。
天文统计学与MCMC	Tutorial	tutorial-2	Beacon	2023-05-13	Nanjing, Jiangsu, China	https://www.bilibili.com/video/BV1ds4y1u7gj/?spm_id_from=333.1007.top_right_bar_window_history.content.click&vd_source=2a4f0c1ba2ad01da9e395325285c2d16	天文学研究已经进入大型巡天时代，SDSS、LAMOST、GAIA、WISE等大型巡天项目数据呈井喷式增长，未来还将有CSST、WFST、LSST等更为强大的巡天项目，天文学的大数据时代来临。数据驱动的天文学呼唤对统计学更加深刻的理解与更巧妙的应用，本报告将简要介绍天文统计学这一交叉学科，简要介绍统计学在天文中应用的例子，探讨如何利用统计学从天文数据中更好地获取信息、推断天体的特性，并将基于python的emcee包简单介绍如何通过马尔可夫链蒙特卡罗算法进行采样和拟合数据。
Exploring the Cosmos with DESI: BAO and RSD measurements	Talk	talk-1	CSST Discussion	2024-04-18	Beijing, China	https://www.bilibili.com/video/BV1zE421K732/?vd_source=2a4f0c1ba2ad01da9e395325285c2d16	As the successor to the successful Stage-III BOSS redshift survey and complementing imaging surveys such as DES, CSST, and LSST, DESI embarks on a groundbreaking journey to unravel the properties of dark energy and the evolution of our universe. DESI's planned five-year survey across 14,000 square degrees will target luminous red galaxies (LRGs), [OII] emission line galaxies (ELGs), and quasars, obtaining over 30 million galaxy and quasar redshifts. A large number of redshifts allow the measurement of baryon acoustic oscillations (BAO) with unprecedented precision. Using the initial two months of unblinded data, DESI achieves a 5σ level detection in the LRG sample and a 3σ significance in the BGS sample. Such precision is similar to the final BOSS result after years of operation, demonstrating DESI’s competitiveness as a Stage-IV BAO experiment. DESI's two-point correlation measurements will also detect the anisotropies in galaxy clustering — redshift space distortions (RSD), offering insights into gravity's properties across different epochs. In addition, DESI can also explore neutrino mass, primordial density fluctuations, and potential modified gravity indicators. In this talk, I will first briefly introduce how DESI measures BAO and RSD, highlighting the source of systematic errors; then, I will focus on the DESI Year 1 cosmology results released on April 4, 2024, and their implications.
Investigation of the variability of LRD using JWST data	Talk	talk-2	EREBUS/JWST workshop	2024-09-25	Hilo, Hawaii		
